financial_goal,investment_knowledge,financial_education,investment_experience,risk_reaction,income_source,income_range,expense_ratio,savings_range,investment_timeframe,riskprofile
Otros,Se como funcionan,Tecnico o tecnologo,ETFs,Mantendria la inversion,Inversiones,Mas de 1400000,Mas del 60% de tus ingresos,Mas del 60%,Largo plazo,Arriesgado
Ingresos adicionales,Invierto de forma regular,No tengo formación,Cedears,Mantendria la inversion,Jubilacion/Herencia,Menos de 279718,Menos del 30% de tus ingresos,Entre 0% y 30%,Mediano plazo,Moderado
Ingresos adicionales,Me suena pero no estoy seguro,Carrera profesional,Acciones,Venderia todo,Inversiones,Entre 280000 y 1400000,Entre 30% y 60% de tus ingresos,Entre 30% y 60%,Largo plazo,Moderado
Otros,Me suena pero no estoy seguro,Tecnico o tecnologo,Cedears,Compraria mas,Jubilacion/Herencia,Menos de 279718,Entre 30% y 60% de tus ingresos,Entre 0% y 30%,Corto plazo,Conservador
Libertad financiera,Me suena pero no estoy seguro,Carrera profesional,Cedears,Venderia todo,Independiente,Entre 280000 y 1400000,Mas del 60% de tus ingresos,Entre 0% y 30%,Mediano plazo,Moderado
Jubilacion,Me suena pero no estoy seguro,No tengo formación,Acciones,Venderia todo,Inversiones,Menos de 279718,Entre 30% y 60% de tus ingresos,Entre 30% y 60%,Largo plazo,Conservador
Vacaciones,Se como funcionan,No tengo formación,Cedears,Mantendria la inversion,Jubilacion/Herencia,Menos de 279718,Mas del 60% de tus ingresos,Entre 0% y 30%,Corto plazo,Conservador
Imprevistos,Se como funcionan,Carrera profesional,Bonos,Compraria mas,Jubilacion/Herencia,Entre 280000 y 1400000,Menos del 30% de tus ingresos,Entre 30% y 60%,Mediano plazo,Arriesgado
Compra de vivienda,Me suena pero no estoy seguro,No tengo formación,Acciones,Mantendria la inversion,Salario,Menos de 279718,Entre 30% y 60% de tus ingresos,Entre 30% y 60%,Corto plazo,Conservador
Imprevistos,No tengo idea,Tecnico o tecnologo,Cedears,Compraria mas,Inversiones,Mas de 1400000,Mas del 60% de tus ingresos,Entre 0% y 30%,Largo plazo,Moderado
Jubilacion,Se como funcionan,Tecnico o tecnologo,Acciones,Compraria mas,Ahorros,Entre 280000 y 1400000,Menos del 30% de tus ingresos,Mas del 60%,Largo plazo,Arriesgado
Proyectos a largo plazo,Se como funcionan,Carrera profesional,Cedears,Mantendria la inversion,Inversiones,Menos de 279718,Menos del 30% de tus ingresos,Entre 30% y 60%,Corto plazo,Arriesgado
Otros,Invierto de forma regular,Tecnico o tecnologo,Bonos,Compraria mas,Ahorros,Mas de 1400000,Menos del 30% de tus ingresos,Mas del 60%,Mediano plazo,Arriesgado
Libertad financiera,Se como funcionan,Carrera profesional,ETFs,Mantendria la inversion,Independiente,Mas de 1400000,Menos del 30% de tus ingresos,Entre 30% y 60%,Largo plazo,Arriesgado
Vacaciones,Me suena pero no estoy seguro,No tengo formación,Bonos,Venderia todo,Independiente,Mas de 1400000,Entre 30% y 60% de tus ingresos,Entre 30% y 60%,Mediano plazo,Conservador
Imprevistos,No tengo idea,Certificado profesional,Cedears,Venderia todo,Salario,Mas de 1400000,Mas del 60% de tus ingresos,Mas del 60%,Corto plazo,Conservador
Jubilacion,Invierto de forma regular,Tecnico o tecnologo,ETFs,Mantendria la inversion,Salario,Mas de 1400000,Menos del 30% de tus ingresos,Mas del 60%,Corto plazo,Arriesgado
Compra de vivienda,No tengo idea,Tecnico o tecnologo,Cedears,Venderia todo,Jubilacion/Herencia,Entre 280000 y 1400000,Mas del 60% de tus ingresos,Entre 30% y 60%,Mediano plazo,Conservador
Proyectos a largo plazo,No tengo idea,Carrera profesional,Acciones,Compraria mas,Jubilacion/Herencia,Entre 280000 y 1400000,Menos del 30% de tus ingresos,Mas del 60%,Largo plazo,Arriesgado
Libertad financiera,Invierto de forma regular,Tecnico o tecnologo,ETFs,Compraria mas,Jubilacion/Herencia,Mas de 1400000,Menos del 30% de tus ingresos,Mas del 60%,Largo plazo,Arriesgado
Imprevistos,Se como funcionan,No tengo formación,Bonos,Compraria mas,Jubilacion/Herencia,Entre 280000 y 1400000,Menos del 30% de tus ingresos,Entre 0% y 30%,Largo plazo,Moderado
Jubilacion,Invierto de forma regular,Carrera profesional,Bonos,Mantendria la inversion,Ahorros,Entre 280000 y 1400000,Menos del 30% de tus ingresos,Mas del 60%,Largo plazo,Arriesgado
Vacaciones,Se como funcionan,No tengo formación,ETFs,Venderia todo,Jubilacion/Herencia,Mas de 1400000,Menos del 30% de tus ingresos,Entre 0% y 30%,Mediano plazo,Moderado
Otros,Me suena pero no estoy seguro,No tengo formación,Cedears,Compraria mas,Jubilacion/Herencia,Mas de 1400000,Entre 30% y 60% de tus ingresos,Mas del 60%,Mediano plazo,Moderado
